,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
20,32020,Marion OH,64728,20019,67969,23800,64274,23484,66217,24579,66501,24691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,4,4,5,5,6,7,8,9,10,11,12,19,25,28,32,40,42,49,53,91,110,164,276,428,983,1834,2073,2132,2137,2161,2169,2172,2178,2188,2191,2196,2196,2276,2294,2329,2332,2335,2347,2350,2366,2381,2387,2404,40.5933,-83.1236
21,34540,Mount Vernon OH,41799,13001,45035,15467,47471,17228,54499,19974,60921,22607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,4,4,5,6,6,7,7,7,7,8,9,9,10,10,10,10,11,11,11,11,13,13,13,14,15,15,15,15,15,16,16,16,18,18,19,19,20,20,20,20,20,20,40.3854,-82.4732
22,35940,Norwalk OH,49200,14684,51497,17659,56215,20231,59488,22307,59626,22820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3,4,4,4,5,6,6,9,10,9,10,10,15,14,14,14,14,15,15,15,16,20,23,24,24,25,27,28,29,29,29,29,29,31,31,32,33,34,34,37,38,38,38,41.2443,-82.6088
23,39020,Portsmouth OH,76662,24925,84273,29449,80331,29785,79195,30871,79499,30870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,8,10,11,11,12,12,13,13,13,13,13,13,13,38.7539,-82.9446
24,41780,Sandusky OH,75925,23029,79678,27749,76804,28940,79551,31728,77079,31860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,5,5,5,5,5,5,6,6,8,10,10,10,10,10,10,10,12,14,16,19,23,27,33,37,37,43,43,44,46,46,49,52,54,56,56,58,58,60,67,71,75,78,79,80,83,41.4437,-82.7149
25,43380,Sidney OH,37667,11077,42966,14145,44915,15625,47910,17637,49423,18467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,6,6,7,10,12,17,18,19,21,24,25,27,27,27,27,28,28,28,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,31,31,31,31,32,40.2891,-84.1667
26,44220,Springfield OH,157109,48238,150291,53398,147597,55214,145019,56669,138333,55244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,6,6,6,6,7,7,7,8,10,11,13,14,14,18,20,20,20,21,23,25,25,25,26,28,28,29,30,32,33,43,48,51,57,57,63,67,69,69,71,74,80,90,93,98,39.9297,-83.7957
27,45660,Tiffin OH,60534,17625,61708,20760,59732,21276,58682,22291,56745,21774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,4,4,4,5,6,6,6,6,7,8,8,9,9,10,11,11,11,11,11,11,11,11,11,12,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,41.1165,-83.1805
28,45780,Toledo OH,643457,201012,656258,234395,654153,245852,659193,259974,651429,263001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,4,6,10,13,26,41,58,80,109,131,152,192,232,261,305,341,365,395,423,458,506,558,574,586,619,680,738,789,845,916,952,993,1026,1093,1160,1221,1293,1325,1368,1420,1475,1535,1578,1627,1688,1754,30,30,30,30,31,31,41.6639,-83.5822
29,46500,Urbana OH,30488,9586,33651,11795,36019,13254,38891,14952,40097,15329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,12,12,12,14,14,14,14,14,14,14,15,15,16,16,17,18,19,40.1089,-83.7541
30,46780,Van Wert OH,29189,9512,30458,10939,30464,11265,29657,11587,28744,11439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,40.8653,-84.5873
31,47540,Wapakoneta OH,38595,11651,42556,14534,44586,15976,46612,17377,45949,17972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,5,6,6,8,8,8,8,9,14,14,14,15,18,19,21,22,22,23,23,28,29,29,30,30,31,32,32,32,33,34,35,35,36,36,36,42,42,42,43,40.5664,-84.1915
32,47920,Washington Court House OH,25438,8196,23793,8466,27466,10221,28433,11054,29030,11436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,4,5,5,7,9,10,12,12,12,12,13,13,13,13,13,13,13,13,13,14,15,15,15,16,17,20,20,21,21,23,23,26,26,23,39.5383,-83.4279
33,48940,Wilmington OH,31318,9637,34505,12114,35416,13037,40542,15415,42040,16210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,3,4,5,7,7,8,8,9,11,12,15,15,15,16,18,23,23,26,26,26,26,26,26,27,27,27,28,28,28,29,29,31,31,31,31,31,31,32,33,33,34,35,39.4387,-83.8184
34,49300,Wooster OH,87114,25052,97403,32233,101460,35620,111560,40445,114520,42638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,7,9,11,11,18,25,26,26,29,30,30,37,40,50,51,51,56,66,72,77,79,81,82,85,88,91,100,104,114,119,125,128,143,149,153,161,166,173,177,183,186,186,186,40.8166,-81.9334
35,49780,Zanesville OH,77524,24502,83071,29357,82070,30756,84585,32518,86074,34271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,3,3,4,4,5,6,6,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,12,15,17,17,18,21,22,23,24,25,25,27,39.9567,-82.0133
